{{Passive skill
|id                                  = AscendancySlayer8
|int_id                              = 17315
|name                                = Overwhelm
|buff_id                             = slayer_crit_multi_aura
|ascendancy_class                    = Slayer
|is_notable                          = True
|icon                                = CriticalAttacks (Slayer)
|stat1_id                            = override_weapon_base_critical_strike_chance
|stat1_value                         = 800
|stat2_id                            = slayer_critical_strike_multiplier_+_per_nearby_enemy_up_to_100
|stat2_value                         = 10
|stat_text                           = Base [[Critical Strike Chance]] for [[Attack|Attacks]] with Weapons is 8%<br>+10% to [[Critical Strike Multiplier]] per Nearby Enemy, up to +100%<br>Nearby Enemies have -30% to [[Critical Strike Multiplier]]
|stat3_id                            = base_critical_strike_multiplier_+
|stat3_value                         = -30
|connections                         = AscendancySlayer1
}}
