{{Mod
|id                               = GrantAlliesPowerChargeOnKillUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = GrantAlliesPowerChargeOnKill
|mod_type                         = GrantAlliesPowerChargeOnKill
|game_mode                        = 0
|stat_text                        = 10% chance to grant a [[Power Charge]] to [[Nearby|nearby]] Allies on [[Kill]]
|stat1_id                         = chance_to_grant_power_charge_to_nearby_allies_on_kill_%
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = power_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
