{{Base item
|rarity_id                               = normal
|name                                    = The Fishmonger
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = However vicious Rhoas might be, a dedicated angler may in time tame them.
|drop_level                              = 23
|tags                                    = currency_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheFishmonger
|stack_size                              = 4
|description                             = {{c|white|{{il|html=|Albino Rhoa Feather}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
