{{Mod
|id                               = ArmourPenetrationInfluence1
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of the Hunt
|mod_groups                       = ArmourPenetration
|mod_type                         = ChanceToIgnoreEnemyArmour
|game_mode                        = 0
|stat_text                        = [[Hit|Hits]] have (30-39)% chance to ignore Enemy [[Physical Damage]] Reduction
|stat1_id                         = hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat1_min                        = 30
|stat1_max                        = 39
|spawn_weight1_tag                = belt_basilisk
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
