{{Passive skill
|id                                  = affliction_notable_frost_breath
|int_id                              = 25938
|name                                = Blizzard Caller
|is_notable                          = True
|icon                                = CurseEffectNotable
|stat1_id                            = cold_weakness_ignores_hexproof
|stat1_value                         = 1
|stat2_id                            = freeze_duration_against_cursed_enemies_+%
|stat2_value                         = 30
|stat_text                           = [[Frostbite]] can affect Hexproof Enemies<br>30% increased Duration of [[Freeze|Freezes]] you inflict on Cursed Enemies
}}
