{{Mod
|id                               = SynthesisImplicitChaosGemLevel1
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 3
|required_level                   = 65
|mod_type                         = LocalIncreaseSocketedChaosGemLevel
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] Chaos Gems
|stat1_id                         = local_socketed_chaos_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = chaos, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
