{{Mod
|id                               = AbyssSpellAddedLightningDamageJewel5_
|mod_groups                       = SpellAddedLightningSuffix
|domain                           = 13
|generation_type                  = 2
|required_level                   = 77
|name                             = of Arcing
|mod_type                         = SpellAddedLightningSuffix
|stat_text                        = Adds (1-6) to (37-45) [[Lightning Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_lightning_damage
|stat1_min                        = 1
|stat1_max                        = 6
|stat2_id                         = spell_maximum_added_lightning_damage
|stat2_min                        = 37
|stat2_max                        = 45
|spawn_weight1_tag                = abyss_jewel_caster
|spawn_weight1_value              = 175
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, lightning, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
