{{Mod
|id                               = ReducedMaximumEnduranceChargeUnique__2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MaximumEnduranceCharges
|mod_type                         = MaximumEnduranceCharges
|game_mode                        = 0
|stat_text                        = -2 to Maximum [[Endurance Charge|Endurance Charges]]
|stat1_id                         = max_endurance_charges
|stat1_min                        = -2
|stat1_max                        = -2
|tags                             = endurance_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
