{{Mod
|id                               = AdditionalTrapsUnique__2__
|mod_groups                       = TrapsAllowed
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = TrapsAllowed
|stat_text                        = Can have 5 fewer [[Trap|Traps]] placed at a time
|stat1_id                         = number_of_additional_traps_allowed
|stat1_min                        = -5
|stat1_max                        = -5
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
