{{Passive skill
|id                                  = AscendancyCustomGuardian3_
|int_id                              = 43703
|name                                = Devout of Lunaris
|ascendancy_class                    = Guardian
|is_notable                          = True
|icon                                = RadientFaith (Guardian)
|stat1_id                            = nova_spells_cast_at_target_location
|stat1_value                         = 1
|stat2_id                            = spells_number_of_additional_projectiles
|stat2_value                         = 2
|stat_text                           = Nova [[Spell|Spells]] Cast at the targeted location instead of around you<br>[[Spell|Spells]] fire 2 additional Projectiles
}}
