{{Passive skill
|id                                  = AscendancyCustomHeirophant10
|int_id                              = 42716
|name                                = Rotting Might
|ascendancy_class                    = Hierophant
|is_notable                          = True
|icon                                = IncreasedMinionDamageNotable
|stat1_id                            = minions_gain_half_your_strength_from_ascendancy
|stat1_value                         = 1
|stat2_id                            = strength_+%
|stat2_value                         = 25
|stat_text                           = Half of your [[Strength]] is added to your [[Minion|Minions]]<br>25% increased [[Strength]]
}}
