{{Mod
|id                               = UniqueSpecialCorruptionAuraEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AuraEffect
|mod_type                         = AuraEffect
|game_mode                        = 0
|stat_text                        = (10-15)% increased effect of Non-Curse Auras from your [[Skill|Skills]]
|stat1_id                         = non_curse_aura_effect_+%
|stat1_min                        = 10
|stat1_max                        = 15
|tags                             = aura
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
