{{Passive skill
|id                                  = physical_damage1752
|int_id                              = 43316
|name                                = Physical Damage and Ignore Physical Damage Reduction
|icon                                = GreenPhysicalDamageNode
|stat1_id                            = physical_damage_+%
|stat1_value                         = 14
|stat2_id                            = hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat2_value                         = 10
|stat_text                           = 14% increased [[Physical Damage]]<br>[[Hit|Hits]] have 10% chance to ignore Enemy [[Physical Damage]] Reduction
|connections                         = physical_damage1749,physical_damage_notable1754
}}
