{{Mod
|id                               = SpellAddedChaosDamageUberMaven
|mod_groups                       = SpellAddedChaosDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 95
|name                             = Elevated Elder's
|mod_type                         = SpellAddedChaosDamage
|stat_text                        = Adds (29-39) to (49-61) [[Chaos Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_chaos_damage
|stat1_min                        = 29
|stat1_max                        = 39
|stat2_id                         = spell_maximum_added_chaos_damage
|stat2_min                        = 49
|stat2_max                        = 61
|spawn_weight1_tag                = helmet_elder
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = caster_damage, chaos_damage, damage, chaos, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
