{{Mod
|id                               = IncreasedAttackSpeedUber2_
|mod_groups                       = IncreasedAttackSpeed
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of the Elder
|granted_skill                    = SupportFasterAttack
|mod_type                         = IncreasedAttackSpeedSupported
|stat_text                        = (10-12)% increased [[Attack Speed]]<br>[[Item socket|Socketed]] Gems are Supported by [[Faster Attacks Support|Level 18 Faster Attacks]]
|stat1_id                         = attack_speed_+%
|stat1_min                        = 10
|stat1_max                        = 12
|stat2_id                         = local_display_socketed_gems_get_faster_attacks_level
|stat2_min                        = 18
|stat2_max                        = 18
|spawn_weight1_tag                = gloves_elder
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, attack, speed, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
