{{Passive skill
|id                                  = AscendancyInquisitor12
|int_id                              = 32816
|name                                = Pious Path
|ascendancy_class                    = Inquisitor
|is_notable                          = True
|icon                                = GloryOfTheSavant (Inquistitor)
|stat1_id                            = your_consecrated_ground_effect_lingers_for_ms_after_leaving_the_area
|stat1_value                         = 4000
|stat2_id                            = consecrated_ground_allies_recover_es_as_well_as_life_from_life_regeneration
|stat2_value                         = 1
|stat_text                           = Effects of Consecrated Ground you create Linger for 4 seconds<br>Consecrated Ground you create causes [[Life]] Regeneration to<br />also Recover [[Energy Shield]] for you and Allies
|connections                         = AscendancyInquisitor2
}}
