{{Mod
|id                               = SupportedBySpiritStrikeAreaUber2
|mod_groups                       = SupportedByMelee
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of the Elder
|granted_skill                    = SupportSpiritStrike
|mod_type                         = SupportedBySpiritStrikeArea
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 18 Ancestral Call<br>(9-12)% increased Area of Effect
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_spirit_strike
|stat1_min                        = 18
|stat1_max                        = 18
|stat2_id                         = base_skill_area_of_effect_+%
|stat2_min                        = 9
|stat2_max                        = 12
|spawn_weight1_tag                = sword_elder
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = axe_elder
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = mace_elder
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = claw_elder
|spawn_weight4_value              = 1000
|spawn_weight5_tag                = sceptre_elder
|spawn_weight5_value              = 1000
|spawn_weight6_tag                = dagger_elder
|spawn_weight6_value              = 1000
|spawn_weight7_tag                = rune_dagger_elder
|spawn_weight7_value              = 1000
|spawn_weight8_tag                = default
|spawn_weight8_value              = 0
|generation_weight1_tag           = has_attack_mod
|generation_weight1_value         = 100
|generation_weight2_tag           = has_caster_mod
|generation_weight2_value         = 65
|generation_weight3_tag           = default
|generation_weight3_value         = 100
|tags                             = support, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
