{{Base item
|rarity_id                               = normal
|name                                    = Broken Truce
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = With a single act, years of peace have been shattered. An unknown assassin brings war upon us all.
|drop_level                              = 62
|tags                                    = weapon_divination, unique_divination, unique_weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardBrokenTruce
|stack_size                              = 5
|description                             = {{c|unique|{{il|html=|Cold Iron Point}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
