{{Mod
|id                               = SpellAddedColdDamageInfluenceMaven
|mod_groups                       = SpellAddedColdDamageUber
|domain                           = 1
|generation_type                  = 1
|required_level                   = 85
|name                             = Elevated Hunter's
|mod_type                         = SpellAddedColdDamageUber
|stat_text                        = Adds (29-39) to (49-61) [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 29
|stat1_max                        = 39
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 49
|stat2_max                        = 61
|spawn_weight1_tag                = helmet_basilisk
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
