{{Item
|rarity_id                               = normal
|name                                    = Uul-Netol's Breachstone
|class_id                                = Breachstone
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 76
|tags                                    = breachstone, default
|metadata_id                             = Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical
|help_text                               = Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.
|stack_size                              = 1
|description                             = Rare Monsters drop an additional Reward Type<br>Area has 2 additional random Modifiers<br>150% increased Experience Gain<br>Monster Level: 82
|stack_size_currency_tab                 = 5000
}}
