{{Mod
|id                               = MinionsHaveChargesYouHaveUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MinionsHaveChargesYouHave
|mod_type                         = MinionsHaveChargesYouHave
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] count as having the same number of<br />Endurance, [[Frenzy]] and [[Power Charge|Power Charges]] as you<br>[[Minion|Minions]] have the same maximum number of Endurance, [[Frenzy]] and [[Power Charge|Power Charges]] as you
|stat1_id                         = minions_have_same_num_of_charges_as_owner
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = minions_have_same_maximum_num_of_charges_as_owner
|stat2_min                        = 1
|stat2_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
