{{Mod
|id                               = LifeRegenerationWhileFrozenUnique__1
|mod_groups                       = LifeRegenerationWhileFrozen
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LifeRegenerationWhileFrozen
|stat_text                        = Regenerate 10% of [[Life]] per second while [[Freeze|Frozen]]
|stat1_id                         = life_regeneration_per_minute_%_while_frozen
|stat1_min                        = 600
|stat1_max                        = 600
|tags                             = resource, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
