{{Mod
|id                               = DamageAgainstNearEnemiesUnique__1
|mod_groups                       = DamageAgainstNearEnemies
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = DamageAgainstNearEnemies
|stat_text                        = 100% increased Damage with [[Hit|Hits]] and Ailments against Hindered Enemies
|stat1_id                         = damage_+%_vs_hindered_enemies
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = damage
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
