{{Passive skill
|id                                  = atlas_keystone_disfavoured_maps
|int_id                              = 8171
|name                                = Shadow Shaping
|flavour_text                        = In lieu of happiness, sometimes the absence of pain is good enough.
|is_keystone                         = True
|is_atlas_passive                    = True
|icon                                = ShadowShaping (AtlasTrees)
|stat1_id                            = atlas_keystone_disfavoured_maps
|stat1_value                         = 1
|stat2_id                            = map_maps_drop_with_special_implicit_chance_permillage_per_different_favoured_map
|stat2_value                         = 10
|stat_text                           = Maps found cannot be your Favoured Maps<br>Maps found in your Maps have +1% chance to have a special Implicit Modifier for each different Map you have Favoured
}}
