{{Item
|rarity_id                               = normal
|name                                    = Sambodhi's Vow
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = He dispels dark realms<br>until mortal sufferings<br>yield to hopeful light.
|drop_level                              = 68
|tags                                    = divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardSambodhisVow
|stack_size                              = 3
|description                             = {{c|white|Mortal Fragment}}
|stack_size_currency_tab                 = 5000
}}
