{{Mod
|id                               = AddedPhysicalDamageUniqueShieldDex6
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PhysicalDamage
|stat_text                        = Adds (8-12) to (15-20) [[Physical Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 8
|stat1_max                        = 12
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 15
|stat2_max                        = 20
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
