{{Mod
|id                               = HellscapeDownsideFirePenetration2h3
|mod_groups                       = FireResistancePenetration
|domain                           = 1
|generation_type                  = 25
|required_level                   = 68
|mod_type                         = FireResistancePenetration
|stat_text                        = Your [[Hit|Hits]] treat [[Fire Resistance]] as 20% higher than actual value
|stat1_id                         = base_reduce_enemy_fire_resistance_%
|stat1_min                        = -20
|stat1_max                        = -20
|spawn_weight1_tag                = staff
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, damage, elemental, fire
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
