{{Mod
|id                               = MinionChaosResistanceUnique___1
|mod_groups                       = MinionChaosResistance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionChaosResistance
|stat_text                        = [[Minion|Minions]] have +29% to [[Chaos Resistance]]
|stat1_id                         = minion_chaos_resistance_%
|stat1_min                        = 29
|stat1_max                        = 29
|tags                             = chaos, resistance, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
