{{Mod
|id                               = CannotGainCharges_
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CannotGainCharges
|mod_type                         = CannotGainCharges
|game_mode                        = 0
|stat_text                        = Cannot gain [[Charge|Charges]] (Hidden)
|stat1_id                         = cannot_gain_charges
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = endurance_charge, frenzy_charge, power_charge
}}
