{{Mod
|id                               = UniqueJewelNodeEnergyShieldUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = UniqueJewelNodeAddition
|mod_type                         = UniqueJewelNodeEnergyShield
|game_mode                        = 0
|stat_text                        = [[Passive skill|Passive Skills]] in Radius also grant 3% increased [[Energy Shield]]
|stat1_id                         = local_unique_jewel_passives_in_radius_grant_maximum_energy_shield_+%
|stat1_min                        = 3
|stat1_max                        = 3
|tags                             = defences, energy_shield
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
