{{Mod
|id                               = MercenaryModMinionCDR
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of Infamy
|mod_groups                       = MinionCooldownRecovery
|mod_type                         = MinionCooldownRecovery
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] have 20% increased Cooldown Recovery Rate
|stat1_id                         = minion_cooldown_recovery_+%
|stat1_min                        = 20
|stat1_max                        = 20
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
