{{Mod
|id                               = CannotBeFrozen6RedeemerItemsUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = RedeemerInfluenceItemsRequirement, AtLeast6MatchedInfluencesTier
|mod_type                         = CannotBeFrozen6RedeemerItems
|game_mode                        = 0
|stat_text                        = Cannot be [[Freeze|Frozen]] if 6 Redeemer Items are Equipped
|stat1_id                         = base_cannot_be_frozen_if_6_redeemer_items
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
