{{Mod
|id                               = EnemyElementalDamageTakenAuraUber1
|domain                           = 1
|generation_type                  = 2
|required_level                   = 85
|name                             = of Shaping
|granted_buff_id                  = increased_enemy_elemental_damage_taken_from_item
|granted_buff_value               = 60
|mod_groups                       = LocalDisplayNearbyEnemyElementalDamageTaken
|mod_type                         = NearbyEnemyElementalDamageTaken
|game_mode                        = 0
|stat_text                        = {{Radius||6.0m}} Enemies take 6% increased [[Elemental Damage]]
|stat1_id                         = local_display_nearby_enemy_elemental_damage_taken_+%
|stat1_min                        = 6
|stat1_max                        = 6
|spawn_weight1_tag                = helmet_shaper
|spawn_weight1_value              = 400
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, influence_mod, damage, elemental
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
