{{Mod
|id                               = EinharMasterAddedChaosDamage1
|mod_groups                       = ChaosDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 30
|name                             = Upgraded
|mod_type                         = ChaosDamage
|stat_text                        = Adds (6-8) to (14-18) [[Chaos Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_chaos_damage
|stat1_min                        = 6
|stat1_max                        = 8
|stat2_id                         = attack_maximum_added_chaos_damage
|stat2_min                        = 14
|stat2_max                        = 18
|tags                             = chaos_damage, damage, chaos, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
