{{Mod
|id                               = HeistNPCGlobalAddedFireDamage4
|mod_groups                       = AddedFireDamage
|domain                           = 23
|generation_type                  = 1
|required_level                   = 83
|name                             = Burning
|mod_type                         = HeistNPCGlobalAddedFireDamage
|stat_text                        = (26-30) to (36-42) added Fire Damage<br />Players and their [[Minion|Minions]] have (26-30) to (36-42) added [[Fire Damage]]
|stat1_id                         = player_and_minion_global_minimum_added_fire_damage
|stat1_min                        = 26
|stat1_max                        = 30
|stat2_id                         = player_and_minion_global_maximum_added_fire_damage
|stat2_min                        = 36
|stat2_max                        = 42
|spawn_weight1_tag                = heist_equipment_weapon
|spawn_weight1_value              = 400
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, damage, elemental, fire
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
