{{Passive skill
|id                                  = fortify_notable2067
|int_id                              = 1340
|name                                = Rampart
|is_notable                          = True
|icon                                = FortifyNotable1
|stat1_id                            = armour_and_evasion_+%_while_fortified
|stat1_value                         = 30
|stat2_id                            = fortification_gained_from_hits_+%_against_unique_enemies
|stat2_value                         = 100
|stat_text                           = 30% increased [[Armour]] and [[Evasion Rating]] while Fortified<br>Fortifying [[Hit|Hits]] against Unique Enemies grant 100% increased Fortification
|connections                         = mastery_fortify7,fortify_2066,fortify_20663,mastery_fortify7
}}
