{{Mod
|id                               = EinharMasterSpellAddedColdDamage2
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 50
|name                             = Upgraded
|mod_type                         = SpellAddedColdDamage
|stat_text                        = Adds (17-23) to (34-40) [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 17
|stat1_max                        = 23
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 34
|stat2_max                        = 40
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
