{{Mod
|id                               = AttackSpeedWhileChilledUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AttackSpeedWhileChilled
|mod_type                         = AttackSpeedWhileChilled
|game_mode                        = 0
|stat_text                        = (10-20)% increased [[Attack Speed]] while [[Chill|Chilled]]
|stat1_id                         = attack_speed_+%_while_chilled
|stat1_min                        = 10
|stat1_max                        = 20
|tags                             = attack, speed
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
