{{Mod
|id                               = MercenaryModSpellslingerReservation
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of Infamy
|mod_groups                       = SkillEnchantment
|mod_type                         = EnchantmentSpellslingerManaReservationEfficiency
|game_mode                        = 0
|stat_text                        = 20% increased [[Mana Reservation]] Efficiency of [[Skill|Skills]] Supported by Spellslinger
|stat1_id                         = spellslinger_mana_reservation_efficiency_+%
|stat1_min                        = 20
|stat1_max                        = 20
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = resource, mana, attack, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
