{{Item
|rarity_id                               = normal
|name                                    = Harbinger Scarab of Warhoards
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = For those who can leverage it, war can be as much a machine of profit as it is death.
|drop_level                              = 73
|tags                                    = scarab, scarab_grants_extra_content, harbinger_scarab, rare_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabHarbingerNew4
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Currency shards dropped by Harbingers in Area are duplicated
|stack_size_currency_tab                 = 5000
|map_fragment_bonus1                     = ScarabHarbingerNew3
}}
