{{Passive skill
|id                                  = shield_damage_block2551
|int_id                              = 48813
|name                                = Shield Damage and Block
|icon                                = ShieldAttackDamage
|stat1_id                            = physical_attack_damage_+%_while_holding_a_shield
|stat1_value                         = 10
|stat2_id                            = shield_block_%
|stat2_value                         = 3
|stat3_id                            = attack_ailment_damage_+%_while_holding_shield
|stat3_value                         = 10
|stat_text                           = 10% increased Physical [[Attack Damage]] while holding a [[Shield]]<br>+3% Chance to [[Block]] [[Attack Damage]] while holding a [[Shield]]<br>[[Attack]] [[Skill|Skills]] deal 10% increased Damage with Ailments while holding a [[Shield]]
|connections                         = shield_damage_block2552,shield_damage_block2552,shield_damage_block_notable2553_
}}
