{{Mod
|id                               = ReducedCurseEffectUniqueRing26
|mod_groups                       = ReducedCurseEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ReducedCurseEffect
|stat_text                        = 60% reduced Effect of [[Curse|Curses]] on you
|stat1_id                         = curse_effect_on_self_+%
|stat1_min                        = -60
|stat1_max                        = -60
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
