{{Mod
|id                               = HellscapeDownsideMaximumFrenzyCharges1
|mod_groups                       = MaximumFrenzyCharges
|domain                           = 1
|generation_type                  = 25
|required_level                   = 68
|mod_type                         = MaximumFrenzyCharges
|stat_text                        = -1 to Maximum [[Frenzy Charge|Frenzy Charges]]
|stat1_id                         = max_frenzy_charges
|stat1_min                        = -1
|stat1_max                        = -1
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = frenzy_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
