{{Mod
|id                               = ChanceToPoisonWithAttacksUnique___1
|mod_groups                       = ChanceToPoisonWithAttacks
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChanceToPoisonWithAttacks
|stat_text                        = 20% chance to [[Poison]] on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = chance_to_poison_on_hit_with_attacks_%
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = poison, chaos, attack, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
