{{Mod
|id                               = EnemyTemporalChainsOnHitUnique__1
|mod_groups                       = EnemyTemporalChainsOnHit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = EnemyTemporalChainsOnHit
|stat_text                        = Enemy [[Hit|Hits]] inflict [[Temporal Chains]] on you
|stat1_id                         = enemies_that_hit_you_inflict_temporal_chains
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
