{{Passive skill
|id                                  = atlas_elder_shaper_1_3
|int_id                              = 12651
|name                                = Remnants of the Past
|is_notable                          = True
|is_atlas_passive                    = True
|icon                                = ElderShaperNotable1 (AtlasTrees)
|stat1_id                            = map_boss_chance_to_drop_additional_shaper_guardian_map_permyriad
|stat1_value                         = 300
|stat2_id                            = map_boss_chance_to_drop_additional_elder_guardian_map_permyriad
|stat2_value                         = 300
|stat_text                           = Final Map Boss in each Map has 3% chance to drop a Shaper Guardian Map (Tier 14+)<br>Final Map Boss in each Map has 3% chance to drop an Elder Guardian Map (Tier 14+)
}}
