{{Mod
|id                               = ExpansionJewelEmptyPassiveUnique__2
|domain                           = 21
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = JewelExpansionEmptyPassive
|mod_type                         = UniqueExpansionJewelEmptyPassive
|game_mode                        = 0
|stat_text                        = Adds 3 Small [[Passive skill|Passive Skills]] which grant nothing
|stat1_id                         = local_unique_jewel_grants_x_empty_passives
|stat1_min                        = 3
|stat1_max                        = 3
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
