{{Mod
|id                               = AddedLightningDamageEssence7Inverted
|mod_groups                       = LightningDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 82
|name                             = Essences
|mod_type                         = SelfLightningDamageTaken
|stat_text                        = Adds (4-8) to (71-76) [[Lightning Damage]] to [[Attack|Attacks]] against you
|stat1_id                         = from_self_minimum_added_attack_lightning_damage_taken
|stat1_min                        = 4
|stat1_max                        = 8
|stat2_id                         = from_self_maximum_added_attack_lightning_damage_taken
|stat2_min                        = 71
|stat2_max                        = 76
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, damage, elemental, lightning, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
