{{Passive skill
|id                                  = hammer_blows147
|int_id                              = 64395
|name                                = Blunt Trauma
|is_notable                          = True
|icon                                = hammerblows
|stat1_id                            = knockback_on_crit_with_staff
|stat1_value                         = 1
|stat2_id                            = staff_critical_strike_chance_+%
|stat2_value                         = 40
|stat3_id                            = staff_critical_strike_multiplier_+
|stat3_value                         = 20
|stat_text                           = Knocks Back Enemies if you get a [[Critical Strike]] with a [[Staff]]<br>40% increased [[Critical Strike Chance]] with [[Staff|Staves]]<br>+20% to [[Critical Strike Multiplier]] with [[Staff|Staves]]
|connections                         = mastery_staff222,mastery_staff222,staff_damage_accuracy25842,staff_damage_block2583
}}
