{{Item
|rarity_id                               = normal
|name                                    = When Currents Blaze
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = In their fiery union,<br>the storm left the rivers<br>forever changed.
|drop_level                              = 78
|tags                                    = unique_divination, jewellery_divination, unique_jewellery_divination, unique_corrupted_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardWhenCurrentsBlaze
|stack_size                              = 2
|description                             = {{c|unique|{{il|html=|Stormfire}}}}<br>{{c|default|Quality:}} {{c|augmented|+20%}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
}}
