{{Passive skill
|id                                  = link_generic_notable2280
|int_id                              = 60781
|name                                = Inspiring Bond
|is_notable                          = True
|icon                                = LinkNotable3
|stat1_id                            = link_skill_buff_effect_+%_if_linked_target_recently
|stat1_value                         = 20
|stat2_id                            = chance_to_start_energy_shield_recharge_%_on_linking_target
|stat2_value                         = 10
|stat_text                           = Link [[Skill|Skills]] have 20% increased Buff Effect if you have Linked to a target [[Recently]]<br>10% chance for [[Energy Shield]] Recharge to start when you Link to a target
|connections                         = mastery_link268,link_generic2098_,mastery_link268
}}
