{{Mod
|id                               = LoseSpiritChargesOnSavageHitUnique__1_
|mod_groups                       = LoseSpiritChargesOnSavageHit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LoseSpiritChargesOnSavageHit
|stat_text                        = You lose all Spirit [[Charge|Charges]] when taking a Savage [[Hit]]
|stat1_id                         = lose_spirit_charges_on_savage_hit_taken
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
