{{Passive skill
|id                                  = dual_wield_spells_and_block2306
|int_id                              = 57457
|name                                = Dual Wield Attack and Cast Speed
|icon                                = DualWieldNodeDefensive
|stat1_id                            = attack_speed_while_dual_wielding_+%
|stat1_value                         = 4
|stat2_id                            = cast_speed_while_dual_wielding_+%
|stat2_value                         = 4
|stat_text                           = 4% increased [[Attack Speed]] while [[Dual Wield|Dual Wielding]]<br>4% increased [[Cast Speed]] while [[Dual Wield|Dual Wielding]]
|connections                         = intelligence909,dual_wield_spells_and_block2307,dual_wield_spells_and_block2308,intelligence909
}}
