{{Mod
|id                               = IncreasedManaEmptyBlueSocketUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = EmptyGemSocketBonus
|mod_type                         = IncreasedManaEmptyBlueSocket
|game_mode                        = 0
|stat_text                        = +40 to maximum [[Mana]] for each Empty Blue [[Item socket|Socket]] on any Equipped Item
|stat1_id                         = maximum_mana_+_per_empty_blue_socket
|stat1_min                        = 40
|stat1_max                        = 40
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
