{{Passive skill
|id                                  = necromantic_aegis1175
|int_id                              = 45175
|name                                = Necromantic Aegis
|flavour_text                        = I give you everything, my pets. My trust, my strength, my safety. Do not disappoint me.
|is_keystone                         = True
|icon                                = KeystoneNecromanticAegis
|stat1_id                            = minions_get_shield_stats_instead_of_you
|stat1_value                         = 1
|stat_text                           = All bonuses from an Equipped [[Shield]] apply to your [[Minion|Minions]] instead of you
|connections                         = intelligence879
}}
