{{Mod
|id                               = MonsterGroundIceOnDeath1
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MonsterEffectOnDeath
|mod_type                         = MonsterGroundIceOnDeath
|game_mode                        = 0
|stat_text                        = [[Chill|Chills]] Ground on Death<br>On death ground effects lasts 6 seconds (Hidden)
|stat1_id                         = monster_ground_ice_on_death_base_area_of_effect_radius
|stat1_min                        = 16
|stat1_max                        = 16
|stat2_id                         = monster_ground_effect_on_death_base_duration_ms
|stat2_min                        = 6000
|stat2_max                        = 6000
}}
