{{Passive skill
|id                                  = minion_instability1133
|int_id                              = 18663
|name                                = Minion Instability
|flavour_text                        = Even in death, they have their uses. They just need a little encouragement.
|is_keystone                         = True
|icon                                = KeystoneMinionInstability
|stat1_id                            = keystone_minion_instability
|stat1_value                         = 1
|stat_text                           = [[Minion|Minions]] Explode when reduced to Low Life, dealing 33% of their [[Life]] as [[Fire Damage]] to surrounding Enemies
|connections                         = intelligence893,intelligence893
}}
