{{Mod
|id                               = LifeReservationEfficiencyDelve
|mod_groups                       = LifeReservationEfficiency
|domain                           = 1
|generation_type                  = 1
|required_level                   = 60
|name                             = Subterranean
|mod_type                         = LifeReservationEfficiency
|stat_text                        = 10% increased [[Life]] Reservation Efficiency of [[Skill|Skills]]
|stat1_id                         = base_life_reservation_efficiency_+%
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = resource, life
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 7
}}
