{{Mod
|id                               = MapRelicHeistLevelFiveJobChance1
|mod_groups                       = MapRelicHeistLevelFiveJobChance
|domain                           = 38
|generation_type                  = 2
|required_level                   = 68
|name                             = of Smuggling
|mod_type                         = MapRelicHeistLevelFiveJobChance
|stat_text                        = Heist Contracts found in your Maps are (75-125)% more likely to require [[Level|level]] 5 Jobs
|stat1_id                         = map_heist_contract_level_5_job_chance_+%_final_from_atlas_passive
|stat1_min                        = 75
|stat1_max                        = 125
|spawn_weight1_tag                = atlas_relic_medium
|spawn_weight1_value              = 400
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
