{{Mod
|id                               = MinionGemLevel1h1
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 1
|required_level                   = 60
|name                             = Martinet's
|mod_type                         = GlobalIncreaseMinionSpellSkillGemLevel
|stat_text                        = +1 to [[Level]] of all [[Minion Skills|Minion Skill]] Gems
|stat1_id                         = minion_skill_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 400
|spawn_weight3_tag                = focus_can_roll_minion_modifiers
|spawn_weight3_value              = 400
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = minion, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
