{{Mod
|id                               = SpellAddedFireDamageEldritchImplicit2
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = SpellAddedFireDamage
|stat_text                        = Adds (10-14) to (21-25) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 10
|stat1_max                        = 14
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 21
|stat2_max                        = 25
|spawn_weight1_tag                = no_tier_5_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = helmet
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
