{{Passive skill
|id                                  = block_notable_2938
|int_id                              = 32738
|name                                = Wall of Steel
|is_notable                          = True
|icon                                = GenericBlockNotable2
|stat1_id                            = X_armour_if_you_have_blocked_recently
|stat1_value                         = 300
|stat2_id                            = dual_wield_or_shield_block_%
|stat2_value                         = 10
|stat_text                           = +300 [[Armour]] if you've Blocked [[Recently]]<br>+10% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]] or holding a [[Shield]]
|connections                         = mastery_block_292,block_node_2935,block_node_2936,mastery_block_292
}}
