{{Passive skill
|id                                  = physical_attack_damage_notable2857
|int_id                              = 65107
|name                                = Bastion Breaker
|is_notable                          = True
|icon                                = ByTheBlade
|stat1_id                            = physical_attack_damage_+%
|stat1_value                         = 30
|stat2_id                            = hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat2_value                         = 50
|stat_text                           = 30% increased [[Attack]] [[Physical Damage]]<br>[[Hit|Hits]] have 50% chance to ignore Enemy [[Physical Damage]] Reduction
|connections                         = mastery_mine172,physical_damage2856
}}
