{{Passive skill
|id                                  = affliction_notable_rattling_bellow
|int_id                              = 29450
|name                                = Rattling Bellow
|is_notable                          = True
|icon                                = IncreasedWarcryNotable
|stat1_id                            = base_strength
|stat1_value                         = 20
|stat2_id                            = empowered_attack_double_damage_%_chance
|stat2_value                         = 8
|stat_text                           = +20 to [[Strength]]<br>Exerted [[Attack|Attacks]] have 8% chance to deal Double Damage
}}
